246,blaine,14989,2265,
291,goldman,955303,471,
767,xeni,153340,16672,
1047,synedra,1848,731,
1688,ifindkarma,213215,111409,
2493,gleemie,10252,5449,
2840,9six7,696,755,
10053,joygantic,524,2169,
10345,mccannjl,2064,4542,
12514,tomcoates,40177,1001,
12616,johnaugust,84971,653,
12917,Cordelya,182,552,
13120,jbouvier,4378,697,
13124,genmon,8849,1004,
13413,Mickeleh,5268,2725,
29283,tigerbeat,10263,11295,
36823,anildash,592568,701,
41693,blankbaby,4557,429,
44333,arinbasu,1593,4859,
46393,DreamSMITH,626,1437,
48903,aral,44332,28382,
51943,schmmuck,14998,2114,
57743,pheezy,1494,2795,
59553,nils_gate,357,515,
63043,MUO_official,171420,38,
66873,tggleeson,2107,1626,
69583,Alheri,3970,4995,
71263,shadowbottle,487,253,
78533,Mink,151,526,
82433,stefsull,11611,1132,
125033,tamar,36175,525,
128163,dearsarah,8177,1578,
193753,damienmulley,16662,998,
335523,garrett,1526,459,
367693,weems,2117,5001,
459663,ChrisCasquejo,1604,4301,
483223,itsWanda,7578,7448,
607093,rberger,2347,4679,
612473,BBCNews,12243064,93,
622123,BBCNewsNI,285051,1631,
625093,DeirdreS,5072,4160,
647233,phoneyman,445,657,
649713,rom,3493,912,
652873,paddington,317,2768,
653943,TwisterMc,1281,515,
659833,g_mastropavlos,13049,11255,
662963,bosmacs,87,409,
667563,SacramentoKings,1134743,23431,
698483,iansltx,2281,1992,
704413,jennielf,315,1037,
706273,TitaniaBird,741,3571,
718373,rockcampbell,308,673,
726663,Flash,1001,694,
726693,edheil,356,288,
744903,chrismarquardt,10738,4598,
750213,chiangku,1125,1181,
755970,TermStayRes,1213,940,
755984,pieceoplastic,428,761,
756302,kukkurovaca,574,465,
757417,aegirthor,2990,932,
759249,deaneckles,14316,1404,
759251,CNN,53663744,1101,
760821,bb8bear,379,752,
762320,rp00,81,230,
765140,vincefalconi,1136,748,
767742,sinhuebaez,3134,2827,
770550,rakeshlobster,12432,1670,
775861,schmutzie,13811,4488,
776121,mkuker,185,181,
779576,teruterubouzu,2113,4994,
786491,andypiper,16206,3588,
788098,Iggy,711,436,
788563,hiro,2849,1792,
789754,wheelsee,1700,3101,
793118,juter,928,414,
796443,markoneill,2547,154,
797835,TomRaftery,25341,23031,
799226,mhohner,850,664,
799485,RUD0yCURS1,57,226,
803311,markpapadakis,1863,461,
806464,tomafro,1218,716,
807095,nytimes,49899107,814,
807824,rpardee,643,5002,
811530,triptych,5036,5244,
812493,hardillb,822,198,
812569,seanodotcom,1348,901,
816196,kaosu_,1328,1817,
817010,beng,1247,673,
817270,rcymozart,503,526,
819004,lonita,203,193,
820299,rickg,260,265,
821351,paulhillsdon,2756,2522,
824461,jdharper,140,78,
849221,WarnerCrocker,2079,2537,
851361,elidourado,24081,242,
862771,arvindvijh,2584,1034,
908161,Adrian_H,1440,4184,
909901,qedx_,2246,2152,
936151,theoleary,206,124,
941781,Steve8867,149,150,
971761,dannolan,22579,2496,
979991,Melysse,1866,2229,
989821,Kempton,799,1887,
1010181,dsilverman,21896,2229,
1012891,dpan,1596,1565,
1039121,albyselkie,7930,7708,
1039541,elisabethk,345,343,
1044241,brooklynmarie,62774,19536,
1071091,substitute,2072,1878,
1137881,AlfredSpellman,10674,2435,
1140451,Anthony,103265,7887,
1147001,drac,586,142,
1151411,matlock,9574,3023,
1181971,jenbeee,447,814,
1182851,vinceoutlaw,1233,2588,
1221161,skottk,516,2503,
1289321,EastBayTimes,71502,1095,
1309211,riffraff814,315,409,
1312381,supersloth,1469,1301,
1359551,Dfrag,190,672,
1383161,ianlandsman,8047,392,
1386201,Ryan_Lanham,1347,3548,
1399381,ratkins,837,453,
1408861,shassinger,909,4994,
1417401,BruceGodfrey,1807,2523,
1437671,lander,2191,2814,
1454501,iandees,2292,473,
1492801,Indonesia,278402,10,
1536471,Bertitude,1363,1042,
1548301,brenthaag,281,371,
1550531,amayita,1605,2753,
1552651,leeericallen,501,419,
1566291,thatautguy,232,921,
1572631,Snufkin,253,886,
1585761,gfish,927,562,
1589081,ddunstan,431,380,
1609131,litlnemo,579,1038,
1652541,Reuters,23383642,1153,
1677631,0xEnder,416,935,
1717291,pkedrosky,277513,460,
1737521,tobiasdigital,190,389,
1740991,librarianatrix,1091,1888,
1759181,MattMackowiak,31890,10525,
1767741,NYTNational,84771,724,
1798031,stevejacksonHN,6835,169,
1819261,Anthropic,806,3886,
1833631,hyoomen,320,1331,
1906951,daviday,3793,2804,
1914301,juuhaa,3625,5001,
1917731,thehill,4168918,277,
1918621,fancycwabs,925,427,
1933161,adamconner,16035,8122,
2020351,palafo,37109,1836,
2024721,violetSnep,297,2606,
2025351,rakelle,549,4822,
2026151,thomrstrom,1265,59,
2030711,matthewstoller,117286,2469,
2067661,WLWT,137752,558,
2093881,jdhughez,532,1720,
2097571,cnni,12266674,367,
2184621,dialect,8006,2992,
2213981,matunos,977,749,
2222261,beef7272,85,739,
2242621,mrbowers,1061,968,
2267311,seshak,778,709,
2366841,djackmanson,3306,4108,
2397051,solak,545,1737,
2467791,washingtonpost,17884016,1693,
2469771,stormylook,560,1007,
2505051,davidfekke,703,2524,
2507851,polinchock,4036,5001,
2573571,Sushubh,1445,393,
2599461,Chanslor,1555,1435,
2630251,seankenny,341,676,
2682871,pbreit,633,231,
2744501,ShinJupiter,165,1074,
2756821,MrsE0113,331,716,
2757351,qnp,17783,17726,
2765491,snowdeal,531,352,
2768501,abcnews,1783118,1198,
2798701,k3vin11,1253,5008,
2806411,nakano,3997,1395,
2836421,MSNBC,4202029,769,
2861771,WNCN,46580,1676,
2884771,Newsweek,3473144,525,
2890101,chrisbrandow,190,225,
2890961,Gizmodo,2858401,145,
2896671,DonLinn,3367,581,
2910971,Jugbo,7245,7000,
2955691,atomless,1422,3285,
2992751,Oregonian,361874,1227,
2996801,WBUR,90049,2213,
2998771,flannelducky,33,123,
